,diagrp,Cause,SOdm,Occupation,Observed,Exp_Adj,PMR_Adj,Lower_Adj,Upper_Adj,Exp_Unadj,PMR_Unadj,Lower_Unadj,Upper_Unadj
23507,132,Silicosis,176,Mine (excluding coal) & Quarry Workers,12,0.1378695,8703.882,4497.441,15203.94,0.0575145,20864.31,10780.94,36445.79
23144,130,Coal worker's pneumoconiosis,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",26,0.3657523,7108.635,4643.606,10415.79,1.663193,1563.258,1021.174,2290.533
3755,21,Cancer of the peritoneum,146,"Metal Plate Workers, Shipwrights, Riveters",7,0.5312328,1317.69,529.7865,2714.949,0.6080368,1151.246,462.8667,2372.011
22490,127,Farmer's lung disease,47,Farmers,11,0.9059213,1214.233,606.1453,2172.595,0.4942403,2225.638,1111.039,3982.274
38780,217,Injury by machinery,47,Farmers,15,1.634573,917.6708,513.6143,1513.557,0.811528,1848.365,1034.518,3048.595
40384,226,Suicide,22,Veterinarians,6,0.6764063,887.0408,325.5292,1930.718,0.4850463,1236.995,453.9566,2692.423
23073,130,Coal worker's pneumoconiosis,88,Other coal miners,394,49.58316,794.6246,718.0859,877.0967,12.18453,3233.61,2922.146,3569.218
23305,131,Asbestosis,148,"Scaffolders, Stagers, Steeplejacks, Riggers",6,0.8529001,703.4821,258.1662,1531.188,0.6434684,932.4467,342.1924,2029.548
18257,103,Chronic and unspecified myocarditis,175,"Face Trained Coalmining Workers, Shotfireres & Deputies",7,1.171212,597.6716,240.2981,1231.434,1.140202,613.9263,246.8335,1264.925
23616,133,Other pneumoconiosis,88,Other coal miners,34,6.113447,556.151,385.1509,777.1654,2.177965,1561.09,1081.101,2181.467
35989,201,Fall from ladder or scaffolding,169,"Builders, Building Contractors",13,2.538403,512.1331,272.6912,875.7634,2.188969,593.8869,316.2219,1015.565
37875,212,Injury by animals and plants,47,Farmers,6,1.182967,507.1993,186.1337,1103.962,0.6366201,942.4772,345.8734,2051.38
26681,150,Ulcerative colitis,75,Chemical workers,6,1.29392,463.7073,170.1729,1009.298,1.510049,397.3381,145.8165,864.8395
26105,147,Inguinal hernia,42,Butchers,6,1.330609,450.9213,165.4806,981.4678,1.47696,406.2399,149.0833,884.215
23324,131,Asbestosis,174,Other Construction Workers,35,7.879201,444.2075,309.407,617.7847,4.647198,753.1419,524.5913,1047.438
5958,33,Cancer of the male breast,184,Other motor drivers,6,1.365552,439.3829,161.2462,956.3535,1.436791,417.5973,153.2513,908.9354
3776,21,Cancer of the peritoneum,174,Other Construction Workers,16,3.972265,402.7929,230.2314,654.1105,2.952764,541.8652,309.7234,879.9553
5008,28,Cancer of bone,129,"Tool Makers, Tool Fitters & Markers-Out",6,1.567542,382.7649,140.4684,833.1198,1.575539,380.8221,139.7554,828.8911
814,5,Septicaemia,96,Printing Machine Minders & Assistants,6,1.572556,381.5445,140.0205,830.4633,1.80637,332.1578,121.8964,722.9692
10756,61,Other leukaemia,78,"Other Food, Drink & Tobacco Process Operatives nes",6,1.601526,374.6427,137.4876,815.4412,1.756673,341.5548,125.3449,743.4225
23343,131,Asbestosis,194,"Electrical, Energy, Boiler & Related Plant Operatives & Att",6,1.606975,373.3724,137.0215,812.6761,1.193221,502.8406,184.5341,1094.474
4484,25,Cancer of the pleura,153,Coach & Vehicle Body Builders,9,2.416877,372.3813,170.2776,706.8956,1.686572,533.6267,244.0097,1012.99
25070,141,Gastric ulcer,98,Tailors & Dressmakers,6,1.640044,365.8438,134.2586,796.2896,1.644828,364.7798,133.8681,793.9736
