Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
B,F,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",ASBESTOSIS,0,<5,,,
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]J61, [9]501",,,,,
B,M,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",ASBESTOSIS,0,<5,,,
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]J61, [9]501",,,,,
W,F,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",ASBESTOSIS,393,<5,,81,1148
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]J61, [9]501",,,,,
W,M,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",ASBESTOSIS,56,27,p<0.01,37,81
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]J61, [9]501",,,,,
B,F,65-90,MANAGEMENT OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]J61, [9]501",,,,,
B,M,65-90,MANAGEMENT OCCUPATIONS,ASBESTOSIS,0,<5,,,
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]J61, [9]501",,,,,
W,F,65-90,MANAGEMENT OCCUPATIONS,ASBESTOSIS,667,<5,p<0.05,138,1948
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]J61, [9]501",,,,,
W,M,65-90,MANAGEMENT OCCUPATIONS,ASBESTOSIS,54,18,p<0.01,32,86
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]J61, [9]501",,,,,
B,F,65-90,TOP EXECUTIVES,ASBESTOSIS,0,<5,,,
,,,"[0]001-003, [8]003-004, [9]003-004","[0]J61, [9]501",,,,,
B,M,65-90,TOP EXECUTIVES,ASBESTOSIS,0,<5,,,
,,,"[0]001-003, [8]003-004, [9]003-004","[0]J61, [9]501",,,,,
W,F,65-90,TOP EXECUTIVES,ASBESTOSIS,0,<5,,,
,,,"[0]001-003, [8]003-004, [9]003-004","[0]J61, [9]501",,,,,
W,M,65-90,TOP EXECUTIVES,ASBESTOSIS,0,<5,,,
,,,"[0]001-003, [8]003-004, [9]003-004","[0]J61, [9]501",,,,,
B,F,65-90,ADVERTISING & SALES MANAGERS,ASBESTOSIS,0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006","[0]J61, [9]501",,,,,
B,M,65-90,ADVERTISING & SALES MANAGERS,ASBESTOSIS,0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006","[0]J61, [9]501",,,,,
W,F,65-90,ADVERTISING & SALES MANAGERS,ASBESTOSIS,0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006","[0]J61, [9]501",,,,,
W,M,65-90,ADVERTISING & SALES MANAGERS,ASBESTOSIS,0,<5,,,
,,,"[0]036, 090, 093, 370-373, 942, [8]005-006, [9]005-006","[0]J61, [9]501",,,,,
