Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
B,F,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476",[0]C45,,,,,
B,M,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN MESOTHELIOMA (no codes before 1999),71,<5,,2,395
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476",[0]C45,,,,,
W,F,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN MESOTHELIOMA (no codes before 1999),120,23,,76,180
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476",[0]C45,,,,,
W,M,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN MESOTHELIOMA (no codes before 1999),87,133,,72,103
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476",[0]C45,,,,,
B,F,65-90,MANAGEMENT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022",[0]C45,,,,,
B,M,65-90,MANAGEMENT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),103,<5,,3,572
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022",[0]C45,,,,,
W,F,65-90,MANAGEMENT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),115,13,,61,196
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022",[0]C45,,,,,
W,M,65-90,MANAGEMENT OCCUPATIONS,MN MESOTHELIOMA (no codes before 1999),103,109,,85,124
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022",[0]C45,,,,,
B,F,65-90,TOP EXECUTIVES,MN MESOTHELIOMA (no codes before 1999),0,<5,,,
