Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
B,F,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN PERITONEUM AND PLEURA,180,<5,,22,649
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN PERITONEUM AND PLEURA,106,24,,68,158
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,"MANAGEMENT, BUSINESS, FINANCE, PROFESSIONAL",MN PERITONEUM AND PLEURA,73,8,,32,145
,,,"[0]001-095, 110, 370-373, 401-415, 471, 620, [8]001-037, 065, 375-376, 475-476, [9]001-037, 065, 375-376, 475-476","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,MANAGEMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,353,<5,,43,1274
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,MANAGEMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,MANAGEMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,135,18,,80,214
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,MANAGEMENT OCCUPATIONS,MN PERITONEUM AND PLEURA,81,6,,30,176
,,,"[0]001-020, 022-043, [8]003-037, [9]001-022","[0]C384, C48, [9]158, 163",,,,,
